State/Union Territory,Year,Power_Requirement_Net_Crore_Units,Availability_Of_Power_Net_Crore_Units,Availability_Of_Power_Per_Capita_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt
Chandigarh,2006-07,134,134,1488.9,92
Chhattisgarh,2006-07,1406,1317,632.1,1649
Dadra and Nagar Haveli,2006-07,292,288,13057.3,40
Daman and Diu,2006-07,160,141,8899.9,16
Delhi,2006-07,2240,2201,1589.3,3614
Goa,2006-07,262,261,1933.7,311
Gujarat,2006-07,6246,5408,1067.3,10270
Haryana,2006-07,2625,2313,1094,3959
Himachal Pradesh,2006-07,514,500,822,1836
Jammu and Kashmir,2006-07,1173,798,787,1626
Jharkhand,2006-07,437,415,154.2,2017
Karnataka,2006-07,4080,3995,755.9,7785
Kerala,2006-07,1502,1472,462.2,3496
Lakshadweep,2006-07,3,3,412.2,10
Madhya Pradesh,2006-07,3871,3283,544,6487
Maharashtra,2006-07,11001,8914,920.1,17380
Manipur,2006-07,45,43,197.9,158
Meghalaya,2006-07,137,106,458.4,288
Mizoram,2006-07,24,22,248.7,117
Nagaland,2006-07,34,33,164.8,103
Odisha,2006-07,1710,1680,456.4,3476
Puducherry,2006-07,181,181,1855.6,260
Punjab,2006-07,3864,3484,1430.2,6207
Rajasthan,2006-07,3324,3172,561.3,5528
Sikkim,2006-07,22,22,403.1,114
Tamil Nadu,2006-07,6150,6045,968.6,12376
Telangana,2006-07,.,.,.,.
Tripura,2006-07,80,73,227.6,244
Uttar Pradesh,2006-07,5744,4837,291,9175
Uttarakhand,2006-07,596,560,659.5,1992
West Bengal,2006-07,2654,2597,323.9,5331
Andaman and Nicobar Islands,2007-08,24,18,505.4,65
Andhra Pradesh,2007-08,6414,6151,807.1,11867
Arunachal Pradesh,2007-08,39,30,275.1,180
Assam,2007-08,482,441,165.5,955
Bihar,2007-08,916,793,95.6,1970
Chandigarh,2007-08,145,115,1272.4,95
Chhattisgarh,2007-08,1408,1341,643.6,3103
Dadra and Nagar Haveli,2007-08,339,337,15293.2,44
Daman and Diu,2007-08,177,158,9987.1,19
Delhi,2007-08,2244,2230,1610.1,3689
Goa,2007-08,274,271,2008.7,352
Gujarat,2007-08,6875,5761,1137,11052
Haryana,2007-08,2935,2565,1213.1,4590
Himachal Pradesh,2007-08,599,581,956.6,1858
Jammu and Kashmir,2007-08,1178,836,824.4,1709
Jharkhand,2007-08,514,446,165.4,2153
Karnataka,2007-08,4032,3923,742.3,8877
Kerala,2007-08,1566,1528,480,3495
Lakshadweep,2007-08,2,2,395.7,11
Madhya Pradesh,2007-08,4156,3570,591.6,7752
Maharashtra,2007-08,11489,9385,968.7,19583
Manipur,2007-08,53,50,231.2,158
Meghalaya,2007-08,162,123,531.3,288
Mizoram,2007-08,29,25,276.8,119
Nagaland,2007-08,38,33,167.8,103
Odisha,2007-08,1885,1850,502.7,4051
Puducherry,2007-08,184,184,1889.5,257
Punjab,2007-08,4237,3880,1592.6,6530
Rajasthan,2007-08,3674,3560,630,6243
Sikkim,2007-08,29,27,493.7,191
Tamil Nadu,2007-08,6578,6395,1024.8,13563
Telangana,2007-08,.,.,.,.
Tripura,2007-08,78,69,214.4,243
Uttar Pradesh,2007-08,6263,5134,308.9,9278
Uttarakhand,2007-08,705,685,806.3,2356
West Bengal,2007-08,2902,2790,348,7432
Andaman and Nicobar Islands,2008-09,24,18,516.6,65
Andhra Pradesh,2008-09,7151,6667,874.9,11639
Arunachal Pradesh,2008-09,43,27,246.8,180
Assam,2008-09,511,457,171.3,980
Bihar,2008-09,1053,880,106,1970
Chandigarh,2008-09,141,141,1570,93
Chhattisgarh,2008-09,1487,1448,694.8,3607
Dadra and Nagar Haveli,2008-09,357,346,15678.7,81
Daman and Diu,2008-09,180,158,9961.8,71
Delhi,2008-09,2240,2227,1608.1,3677
Goa,2008-09,280,275,2043.5,357
Gujarat,2008-09,6748,6085,1201,12110
Haryana,2008-09,2909,2663,1259.2,4530
Himachal Pradesh,2008-09,626,624,1026.8,1896
Jammu and Kashmir,2008-09,1147,870,857.5,2159
Jharkhand,2008-09,536,511,189.6,2153
Karnataka,2008-09,4317,4058,767.8,9347
Kerala,2008-09,1765,1556,488.7,3514
Lakshadweep,2008-09,2,2,395.7,11
Madhya Pradesh,2008-09,4205,3484,577.3,8113
Maharashtra,2008-09,12190,9576,988.5,20415
Manipur,2008-09,56,48,220.1,158
Meghalaya,2008-09,171,139,597.7,288
Mizoram,2008-09,33,27,302.7,119
Nagaland,2008-09,48,44,219.1,103
Odisha,2008-09,2052,2021,549.2,4072
Puducherry,2008-09,202,177,1819.7,257
Punjab,2008-09,4164,3724,1528.7,6780
Rajasthan,2008-09,3780,3739,661.7,6426
Sikkim,2008-09,34,33,610.1,193
Tamil Nadu,2008-09,6967,6421,1028.9,14089
Telangana,2008-09,.,.,.,.
Tripura,2008-09,80,73,227.6,243
Uttar Pradesh,2008-09,6921,5431,326.8,9247
Uttarakhand,2008-09,784,777,914.7,2383
West Bengal,2008-09,3129,3029,377.8,7732
Andaman and Nicobar Islands,2009-10,24,18,505.4,65
Andhra Pradesh,2009-10,7900,7377,967.9,13409
Arunachal Pradesh,2009-10,40,33,296,202
Assam,2009-10,512,469,175.9,979
Bihar,2009-10,1159,991,119.4,1846
Chandigarh,2009-10,158,153,1696.6,98
Chhattisgarh,2009-10,1101,1074,515.5,4769
Dadra and Nagar Haveli,2009-10,401,385,17474.7,58
Daman and Diu,2009-10,193,180,11390.4,31
Delhi,2009-10,2428,2409,1739.6,4115
Goa,2009-10,309,303,2245.4,381
Gujarat,2009-10,7037,6722,1326.6,13908
Haryana,2009-10,3344,3202,1514.5,5071
Himachal Pradesh,2009-10,705,677,1113.7,2030
Jammu and Kashmir,2009-10,1320,993,979.2,2264
Jharkhand,2009-10,587,541,200.7,1943
Karnataka,2009-10,4555,4204,795.5,10386
Kerala,2009-10,1762,1720,540.1,3554
Lakshadweep,2009-10,2,2,395.7,10
Madhya Pradesh,2009-10,4318,3497,579.5,8324
Maharashtra,2009-10,12494,10151,1047.8,21379
Manipur,2009-10,52,43,198.5,158
Meghalaya,2009-10,155,133,572.3,290
Mizoram,2009-10,35,29,324.1,131
Nagaland,2009-10,53,47,234.2,103
Odisha,2009-10,2114,2096,569.4,4059
Puducherry,2009-10,212,198,2027,256
Punjab,2009-10,4573,3941,1617.8,6922
Rajasthan,2009-10,4411,4306,762.1,7768
Sikkim,2009-10,39,35,637.9,195
Tamil Nadu,2009-10,7629,7157,1146.8,14410
Telangana,2009-10,.,.,.,.
Tripura,2009-10,86,77,241,244
Uttar Pradesh,2009-10,7593,5951,358.1,9984
Uttarakhand,2009-10,892,834,982.2,2405
West Bengal,2009-10,3375,3282,409.3,8150
Andaman and Nicobar Islands,2010-11,24,18,505.4,65
Andhra Pradesh,2010-11,7897,7645,1003.1,15036
Arunachal Pradesh,2010-11,51,44,397.1,213
Assam,2010-11,540,506,189.9,979
Bihar,2010-11,1238,1077,129.8,1922
Chandigarh,2010-11,152,152,1686.6,100
Chhattisgarh,2010-11,1034,1017,487.9,4882
Dadra and Nagar Haveli,2010-11,443,442,20064.4,61
Daman and Diu,2010-11,218,200,12622.9,33
Delhi,2010-11,2563,2556,1845.3,5802
Goa,2010-11,315,309,2292.1,387
Gujarat,2010-11,7165,6753,1332.8,15723
Haryana,2010-11,3455,3263,1543,5985
Himachal Pradesh,2010-11,763,736,1211.6,2327
Jammu and Kashmir,2010-11,1357,1018,1003.6,2296
Jharkhand,2010-11,620,599,222.1,1984
Karnataka,2010-11,5047,4662,882.2,11546
Kerala,2010-11,1802,1777,558,3719
Lakshadweep,2010-11,3,3,412.2,11
Madhya Pradesh,2010-11,4844,3864,640.4,8381
Maharashtra,2010-11,12830,10702,1104.7,22645
Manipur,2010-11,57,51,233.1,158
Meghalaya,2010-11,155,135,583.1,290
Mizoram,2010-11,37,32,354.5,139
Nagaland,2010-11,58,52,261.3,103
Odisha,2010-11,2251,2245,609.9,5379
Puducherry,2010-11,212,204,2092.7,264
Punjab,2010-11,4448,4180,1716,7019
Rajasthan,2010-11,4526,4484,793.5,8975
Sikkim,2010-11,40,40,743.3,201
Tamil Nadu,2010-11,8031,7510,1203.4,15515
Telangana,2010-11,.,.,.,.
Tripura,2010-11,88,80,250.4,265
Uttar Pradesh,2010-11,7629,6485,390.2,10458
Uttarakhand,2010-11,985,926,1090.2,2455
West Bengal,2010-11,3648,3585,447.1,8317
Andaman and Nicobar Islands,2011-12,24,20,536.9,65
Andhra Pradesh,2011-12,9173,8515,1005.7,16095
Arunachal Pradesh,2011-12,60,55,400,214
Assam,2011-12,603,570,182.7,1020
Bihar,2011-12,1431,1126,108.5,1834
Chandigarh,2011-12,157,156,1482.9,102
Chhattisgarh,2011-12,1501,1462,572.2,5347
Dadra and Nagar Haveli,2011-12,438,435,12685,67
Daman and Diu,2011-12,214,192,7883.5,38
Delhi,2011-12,2675,2667,1592.2,6587
Goa,2011-12,302,298,2045,400
Gujarat,2011-12,7470,7443,1232.6,21972
Haryana,2011-12,3687,3554,1401.8,6882
Himachal Pradesh,2011-12,816,811,1182.4,3585
Jammu and Kashmir,2011-12,1425,1089,867.7,2307
Jharkhand,2011-12,628,603,182.9,3038
Karnataka,2011-12,6083,5402,883.7,13394
Kerala,2011-12,1989,1947,583.1,3828
Lakshadweep,2011-12,4,4,574.3,11
Madhya Pradesh,2011-12,4979,4139,570.2,8780
Maharashtra,2011-12,14138,11772,1047.6,26142
Manipur,2011-12,54,50,183.3,158
Meghalaya,2011-12,193,145,489.2,374
Mizoram,2011-12,40,36,325.4,139
Nagaland,2011-12,56,51,258,103
Odisha,2011-12,2304,2269,541,5996
Puducherry,2011-12,217,214,1716.4,280
Punjab,2011-12,4519,4379,1580.7,7056
Rajasthan,2011-12,5147,4949,721.2,10161
Sikkim,2011-12,39,38,631.9,206
Tamil Nadu,2011-12,8569,7671,1063.3,17602
Telangana,2011-12,.,.,.,.
Tripura,2011-12,95,90,245.2,265
Uttar Pradesh,2011-12,8134,7212,361.3,13054
Uttarakhand,2011-12,1051,1021,1009,2527
West Bengal,2011-12,3868,3828,419.1,8567
Andaman and Nicobar Islands,2012-13,24,19,489.5,65
Andhra Pradesh,2012-13,9969,8217,970.5,16949
Arunachal Pradesh,2012-13,59,55,400.7,249
Assam,2012-13,650,605,194,1140
Bihar,2012-13,1541,1284,123.6,1868
Chandigarh,2012-13,164,164,1552.1,106
Chhattisgarh,2012-13,1730,1700,665.7,6532
Dadra and Nagar Haveli,2012-13,457,440,12830.6,80
Daman and Diu,2012-13,199,186,7657.1,48
Delhi,2012-13,2609,2595,1549,7163
Goa,2012-13,318,311,2131.4,430
Gujarat,2012-13,9366,9351,1549,26414
Haryana,2012-13,4141,3821,1507.1,8114
Himachal Pradesh,2012-13,899,874,1275.3,3770
Jammu and Kashmir,2012-13,1541,1156,921,2394
Jharkhand,2012-13,704,677,205.2,2270
Karnataka,2012-13,6627,5704,933.1,13759
Kerala,2012-13,2124,2039,610.7,3856
Lakshadweep,2012-13,4,4,558.8,11
Madhya Pradesh,2012-13,5178,4683,609.8,10632
Maharashtra,2012-13,12398,11997,1067.6,30354
Manipur,2012-13,57,54,199.5,179
Meghalaya,2012-13,183,161,542.2,455
Mizoram,2012-13,41,38,346.5,150
Nagaland,2012-13,57,54,270.1,117
Odisha,2012-13,2516,2432,579.8,6946
Puducherry,2012-13,233,229,1841,282
Punjab,2012-13,4872,4612,1664.7,7509
Rajasthan,2012-13,5554,5387,785,12156
Sikkim,2012-13,41,41,673,206
Tamil Nadu,2012-13,9230,7616,1055.8,19433
Telangana,2012-13,.,.,.,.
Tripura,2012-13,111,105,287.1,412
Uttar Pradesh,2012-13,9165,7645,383,14294
Uttarakhand,2012-13,1133,1071,1058.5,2561
West Bengal,2012-13,4214,4184,458.1,8616
Andaman and Nicobar Islands,2013-14,24,18,473.8,70
Andhra Pradesh,2013-14,9566,8904,1051.6,17731
Arunachal Pradesh,2013-14,55,52,373.9,249
Assam,2013-14,754,706,226.6,1143
Bihar,2013-14,1539,1476,142.2,2198
Chandigarh,2013-14,157,157,1492.4,116
Chhattisgarh,2013-14,1893,1880,736.1,9975
Dadra and Nagar Haveli,2013-14,539,539,15715.2,80
Daman and Diu,2013-14,225,225,9270.9,48
Delhi,2013-14,2687,2679,1599.2,7824
Goa,2013-14,389,387,2655.5,400
Gujarat,2013-14,8850,8849,1465.4,27647
Haryana,2013-14,4346,4321,1704.4,8282
Himachal Pradesh,2013-14,909,888,1295.6,3986
Jammu and Kashmir,2013-14,1561,1219,971.2,2579
Jharkhand,2013-14,714,701,212.6,2580
Karnataka,2013-14,6415,5805,949.6,14270
Kerala,2013-14,2158,2105,630.5,3892
Lakshadweep,2013-14,5,5,745,11
Madhya Pradesh,2013-14,4941,4939,680.3,13805
Maharashtra,2013-14,12629,12367,1100.5,34867
Manipur,2013-14,58,55,201.3,179
Meghalaya,2013-14,179,160,541.2,455
Mizoram,2013-14,45,43,394.1,150
Nagaland,2013-14,58,56,283.2,118
Odisha,2013-14,2496,2455,585.2,7737
Puducherry,2013-14,234,232,1864.3,284
Punjab,2013-14,4782,4708,1699.5,8379
Rajasthan,2013-14,5820,5804,845.8,14282
Sikkim,2013-14,41,41,679.6,314
Tamil Nadu,2013-14,9351,8798,1219.6,21193
Telangana,2013-14,.,.,.,.
Tripura,2013-14,120,114,311.6,433
Uttar Pradesh,2013-14,9489,8161,408.9,14375
Uttarakhand,2013-14,1194,1149,1136,2635
West Bengal,2013-14,4289,4276,468.1,8959
Andaman and Nicobar Islands,2014-15,24,18,473.8,70
Andhra Pradesh,2014-15,5920,5631,1140.2,11275
Arunachal Pradesh,2014-15,68,61,441.2,261
Assam,2014-15,853,793,254.3,1263
Bihar,2014-15,1929,1876,180.7,2760
Chandigarh,2014-15,162,162,1532.2,118
Chhattisgarh,2014-15,2150,2123,831.2,13086
Dadra and Nagar Haveli,2014-15,531,530,15470.2,80
Daman and Diu,2014-15,209,209,8587.5,48
Delhi,2014-15,2923,2911,1737.3,8274
Goa,2014-15,397,393,2697.4,400
Gujarat,2014-15,9624,9621,1593.3,28961
Haryana,2014-15,4662,4643,1831.4,8754
Himachal Pradesh,2014-15,881,873,1273,4579
Jammu and Kashmir,2014-15,1621,1312,1045.4,2611
Jharkhand,2014-15,760,739,224.2,2626
Karnataka,2014-15,6264,5993,980.3,15150
Kerala,2014-15,2246,2213,662.7,4107
Lakshadweep,2014-15,5,5,745,11
Madhya Pradesh,2014-15,5337,5308,731.2,15845
Maharashtra,2014-15,13490,13308,1184.3,38355
Manipur,2014-15,71,68,249.1,200
Meghalaya,2014-15,193,163,551.3,495
Mizoram,2014-15,46,43,389.5,161
Nagaland,2014-15,69,66,333.7,131
Odisha,2014-15,2648,2605,621.1,9036
Puducherry,2014-15,240,238,1909.3,330
Punjab,2014-15,4863,4814,1737.8,10525
Rajasthan,2014-15,6572,6531,951.7,16229
Sikkim,2014-15,40,40,656.6,323
Tamil Nadu,2014-15,9576,9275,1285.7,22884
Telangana,2014-15,4334,4064,1151.8,9470
Tripura,2014-15,124,105,285.5,627
Uttar Pradesh,2014-15,10318,8706,436.2,15087
Uttarakhand,2014-15,1245,1207,1193.3,2809
West Bengal,2014-15,4709,4683,512.6,9576
Andaman and Nicobar Islands,2015-16,24,18,473.8,50
Andhra Pradesh,2015-16,5044,5037,1019.8,14827
Arunachal Pradesh,2015-16,63,59,427.5,258
Assam,2015-16,876,827,265.4,1369
Bihar,2015-16,2396,2366,227.9,2985
Chandigarh,2015-16,161,161,1523.7,124
Chhattisgarh,2015-16,2565,2531,991,15540
Dadra and Nagar Haveli,2015-16,593,593,17281.5,90
Daman and Diu,2015-16,234,234,9620.8,59
Delhi,2015-16,2963,2958,1765.8,8347
Goa,2015-16,512,512,3511.6,412
Gujarat,2015-16,10354,10354,1714.7,29611
Haryana,2015-16,4751,4744,1871.1,8792
Himachal Pradesh,2015-16,882,876,1277.3,4424
Jammu and Kashmir,2015-16,1657,1404,1118.6,3122
Jharkhand,2015-16,774,756,229.3,2626
Karnataka,2015-16,6430,6097,997.4,17037
Kerala,2015-16,2332,2319,694.7,4163
Lakshadweep,2015-16,5,5,745,1
Madhya Pradesh,2015-16,6238,6238,859.2,17644
Maharashtra,2015-16,14182,14136,1258,40376
Manipur,2015-16,84,81,297.6,206
Meghalaya,2015-16,183,172,581.6,510
Mizoram,2015-16,47,46,417,119
Nagaland,2015-16,76,74,372.6,140
Odisha,2015-16,2676,2660,634.1,9422
Puducherry,2015-16,244,243,1951.8,335
Punjab,2015-16,4969,4968,1793,12455
Rajasthan,2015-16,6742,6721,979.4,17784
Sikkim,2015-16,40,40,656.6,414
Tamil Nadu,2015-16,9728,9659,1338.9,24747
Telangana,2015-16,5025,4995,1415.5,10892
Tripura,2015-16,120,115,312.2,677
Uttar Pradesh,2015-16,10635,9303,466.1,18632
Uttarakhand,2015-16,1289,1268,1252.9,3177
West Bengal,2015-16,4736,4719,516.6,9984
Andaman and Nicobar Islands,2016-17,24,18,473.8,52
Andhra Pradesh,2016-17,5430,5426,1098.6,22298
Arunachal Pradesh,2016-17,73,71,515.7,274
Assam,2016-17,902,869,278.9,1600
Bihar,2016-17,2571,2513,242.1,3608
Chandigarh,2016-17,165,165,1559.7,177
Chhattisgarh,2016-17,2375,2370,927.9,12060
Dadra and Nagar Haveli,2016-17,602,602,17561.5,242
Daman and Diu,2016-17,240,240,9867.8,182
Delhi,2016-17,3083,3080,1838.4,7839
Goa,2016-17,432,432,2962.2,541
Gujarat,2016-17,10370,10370,1717.4,30716
Haryana,2016-17,4889,4889,1928.5,11056
Himachal Pradesh,2016-17,883,878,1280.4,3893
Jammu and Kashmir,2016-17,1740,1420,1131.3,3274
Jharkhand,2016-17,796,791,239.8,2237
Karnataka,2016-17,6690,6654,1088.5,21317
Kerala,2016-17,2430,2426,726.6,4999
Lakshadweep,2016-17,5,5,745,1
Madhya Pradesh,2016-17,6576,6576,905.8,19618
Maharashtra,2016-17,13929,13923,1239,41410
Manipur,2016-17,76,74,271.1,233
Meghalaya,2016-17,171,171,578.3,518
Mizoram,2016-17,51,50,457.4,137
Nagaland,2016-17,76,74,375.1,155
Odisha,2016-17,2676,2676,637.8,8538
Puducherry,2016-17,255,255,2045.9,367
Punjab,2016-17,5310,5310,1916.6,14162
Rajasthan,2016-17,6784,6742,982.5,19776
Sikkim,2016-17,47,47,780,758
Tamil Nadu,2016-17,10451,10449,1448.4,29112
Telangana,2016-17,5303,5302,1502.5,11501
Tripura,2016-17,164,162,441.6,727
Uttar Pradesh,2016-17,10757,10570,529.6,23662
Uttarakhand,2016-17,1307,1299,1283.7,3313
West Bengal,2016-17,4795,4781,523.4,10383
Andaman and Nicobar Islands,2017-18,33,30,789.6,52
Andhra Pradesh,2017-18,5838,5829,1180.3,23674
Arunachal Pradesh,2017-18,80,79,570.7,301
Assam,2017-18,910,878,281.7,1571
Bihar,2017-18,2702,2660,256.3,4341
Chandigarh,2017-18,161,160,1518,193
Chhattisgarh,2017-18,2592,2583,1011.4,13527
Dadra and Nagar Haveli,2017-18,617,617,17987.3,255
Daman and Diu,2017-18,253,253,10431.8,190
Delhi,2017-18,3183,3181,1898.6,7180
Goa,2017-18,412,412,2824.3,549
Gujarat,2017-18,10999,10997,1821.2,31043
Haryana,2017-18,5078,5078,2002.7,11260
Himachal Pradesh,2017-18,940,935,1362.9,4047
Jammu and Kashmir,2017-18,1881,1505,1199.3,3389
Jharkhand,2017-18,791,775,235.2,1771
Karnataka,2017-18,6787,6770,1107.5,27157
Kerala,2017-18,2500,2492,746.3,5083
Lakshadweep,2017-18,5,5,745,1
Madhya Pradesh,2017-18,6993,6993,963.2,21728
Maharashtra,2017-18,14976,14953,1330.7,43255
Manipur,2017-18,87,83,303.8,242
Meghalaya,2017-18,156,155,523.3,565
Mizoram,2017-18,50,49,447.3,196
Nagaland,2017-18,80,77,389.3,159
Odisha,2017-18,2880,2871,684.3,7377
Puducherry,2017-18,267,266,2139.1,369
Punjab,2017-18,5481,5481,1978.5,13432
Rajasthan,2017-18,7119,7060,1028.9,21684
Sikkim,2017-18,49,48,798.1,962
Tamil Nadu,2017-18,10601,10584,1467.2,30327
Telangana,2017-18,6032,6024,1707.1,15139
Tripura,2017-18,260,255,695.2,733
Uttar Pradesh,2017-18,12005,11830,592.8,24909
Uttarakhand,2017-18,1346,1343,1327.1,3399
West Bengal,2017-18,5076,5057,553.6,10518
Andaman and Nicobar Islands,2018-19,35,32,850.1,57
Andhra Pradesh,2018-19,6374,6380,1289.4,24184
Arunachal Pradesh,2018-19,86,86,618.4,337
Assam,2018-19,953,924,295.3,1710
Bihar,2018-19,3005,2983,287.3,4566
Chandigarh,2018-19,156,157,1480.1,198
Chhattisgarh,2018-19,2613,2642,1021,14044
Dadra and Nagar Haveli,2018-19,632,630,18424.8,276
Daman and Diu,2018-19,256,256,10526.5,206
Delhi,2018-19,3230,3228,1926.9,7237
Goa,2018-19,428,429,2936.1,567
Gujarat,2018-19,11659,11636,1930.5,32291
Haryana,2018-19,5367,5367,2116.7,11268
Himachal Pradesh,2018-19,985,962,1402.7,4068
Jammu and Kashmir,2018-19,1959,1562,1264.5,3394
Jharkhand,2018-19,868,849,256.7,1774
Karnataka,2018-19,7176,7170,1172.7,28075
Kerala,2018-19,2503,2490,746.2,5083
Lakshadweep,2018-19,5,5,714,1
Madhya Pradesh,2018-19,7567,7605,1042.3,23334
Maharashtra,2018-19,15829,15816,1407.4,44144
Manipur,2018-19,92,90,332.8,259
Meghalaya,2018-19,196,196,658.9,582
Mizoram,2018-19,67,64,605.9,206
Nagaland,2018-19,90,80,408.5,170
Odisha,2018-19,3181,3212,757.6,7654
Puducherry,2018-19,276,276,2210.6,370
Punjab,2018-19,5529,5532,1995.2,13432
Rajasthan,2018-19,7983,7963,1160.6,22589
Sikkim,2018-19,51,53,842.5,962
Tamil Nadu,2018-19,10938,10938,1514.8,31059
Telangana,2018-19,6670,6643,1888.4,15826
Tripura,2018-19,186,184,500.4,752
Uttar Pradesh,2018-19,11710,11615,581.9,25130
Uttarakhand,2018-19,1385,1375,1359.4,3403
West Bengal,2018-19,5224,5129,570.1,10568
Andaman and Nicobar Islands,2019-20,35,32,850.1,57
Andhra Pradesh,2019-20,6545,6541,1321.9,24854
Arunachal Pradesh,2019-20,75,75,539.2,379
Assam,2019-20,980,929,296.9,1757
Bihar,2019-20,3163,3153,303.8,5792
Chandigarh,2019-20,173,173,1631.8,207
Chhattisgarh,2019-20,3011,3011,1163.6,12835
Dadra and Nagar Haveli,2019-20,653,653,19085.5,493
Daman and Diu,2019-20,257,257,10592.3,224
Delhi,2019-20,3309,3308,1974.4,7582
Goa,2019-20,435,435,2975.8,581
Gujarat,2019-20,11394,11394,1890.4,35211
Haryana,2019-20,5451,5449,2149.3,12290
Himachal Pradesh,2019-20,1042,1035,1509.9,4007
Jammu and Kashmir,2019-20,2003,1626,1316.6,3417
Jharkhand,2019-20,894,887,268.2,2514
Karnataka,2019-20,7280,7280,1190.7,29825
Kerala,2019-20,2632,2627,787.2,5696
Lakshadweep,2019-20,5,5,714,1
Madhya Pradesh,2019-20,7617,7617,1043.9,24821
Maharashtra,2019-20,15517,15517,1380.8,43496
Manipur,2019-20,92,92,341,268
Meghalaya,2019-20,211,206,695.3,609
Mizoram,2019-20,65,64,613.5,212
Nagaland,2019-20,81,81,415.7,175
Odisha,2019-20,2969,2969,700.4,8567
Puducherry,2019-20,285,285,2282.8,375
Punjab,2019-20,5678,5677,2047.7,14205
Rajasthan,2019-20,8128,8122,1183.9,25360
Sikkim,2019-20,55,55,885.7,674
Tamil Nadu,2019-20,10882,10881,1506.9,32840
Telangana,2019-20,6831,6830,1941.7,16024
Tripura,2019-20,154,152,411.8,764
Uttar Pradesh,2019-20,12255,12100,606.2,26162
Uttarakhand,2019-20,1447,1438,1421,3550
